4 clusters
Cluster 0
27.00, 48.00, 501.00
23.00, 50.00, 517.00
24.00, 51.00, 545.00
24.00, 50.00, 528.00
30.00, 48.00, 503.00
23.00, 57.00, 542.00
29.00, 59.00, 528.00
23.00, 52.00, 526.00
25.00, 54.00, 533.00
24.00, 57.00, 508.00
25.00, 43.00, 508.00
27.00, 56.00, 536.00
25.00, 60.00, 530.00
31.00, 55.00, 523.00
28.00, 48.00, 521.00
21.00, 52.00, 527.00
24.00, 49.00, 539.00
22.00, 44.00, 532.00
27.00, 55.00, 527.00
26.00, 44.00, 531.00
24.00, 40.00, 521.00
26.00, 40.00, 547.00
24.00, 42.00, 508.00
Cluster 1
32.00, 50.00, 542.00
36.00, 41.00, 516.00
38.00, 48.00, 522.00
39.00, 58.00, 510.00
36.00, 48.00, 519.00
36.00, 53.00, 539.00
35.00, 40.00, 516.00
31.00, 41.00, 523.00
38.00, 45.00, 539.00
37.00, 48.00, 529.00
Cluster 2
60.00, 90.00, 706.00
51.00, 85.00, 831.00
60.00, 78.00, 777.00
54.00, 82.00, 822.00
57.00, 77.00, 717.00
57.00, 72.00, 728.00
56.00, 80.00, 723.00
55.00, 88.00, 746.00
58.00, 71.00, 787.00
59.00, 83.00, 730.00
56.00, 85.00, 808.00
50.00, 75.00, 730.00
57.00, 73.00, 790.00
53.00, 85.00, 849.00
59.00, 79.00, 742.00
53.00, 71.00, 836.00
53.00, 73.00, 740.00
58.00, 80.00, 824.00
58.00, 82.00, 777.00
59.00, 80.00, 760.00
53.00, 75.00, 843.00
56.00, 70.00, 795.00
51.00, 85.00, 716.00
57.00, 81.00, 748.00
58.00, 78.00, 782.00
54.00, 71.00, 827.00
60.00, 89.00, 837.00
57.00, 89.00, 827.00
59.00, 76.00, 717.00
50.00, 78.00, 792.00
57.00, 85.00, 714.00
52.00, 86.00, 730.00
56.00, 87.00, 824.00
Cluster 3
70.00, 30.00, 613.00
77.00, 26.00, 649.00
71.00, 23.00, 622.00
72.00, 26.00, 610.00
79.00, 30.00, 644.00
84.00, 29.00, 645.00
90.00, 24.00, 629.00
87.00, 22.00, 641.00
83.00, 22.00, 627.00
76.00, 26.00, 641.00
73.00, 28.00, 615.00
79.00, 30.00, 640.00
77.00, 21.00, 644.00
90.00, 21.00, 627.00
78.00, 23.00, 636.00
88.00, 20.00, 637.00
73.00, 27.00, 624.00
86.00, 24.00, 623.00
88.00, 20.00, 633.00
70.00, 22.00, 642.00
84.00, 22.00, 606.00
90.00, 26.00, 625.00
71.00, 29.00, 631.00
74.00, 30.00, 634.00
85.00, 27.00, 615.00
78.00, 29.00, 603.00
81.00, 24.00, 603.00
75.00, 26.00, 643.00
78.00, 23.00, 640.00
74.00, 25.00, 601.00
83.00, 30.00, 632.00
79.00, 28.00, 631.00
76.00, 27.00, 640.00
73.00, 23.00, 650.00
